outcome,change_type,event_week,coef,se,ci_low,ci_high,pval,estimated,baseline_week,ci_level,cluster_level,estimator
success_within_20,region_and_workmode,3,-0.030126940559408198,0.042414305912397074,-0.1132586362818084,0.053004755162992,0.47751920498811096,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,4,0.027962575206947362,0.04083059137129663,-0.052065052854559646,0.10799020326845438,0.49344439336587964,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,5,0.057460443777258834,0.03862562968106761,-0.018245477247705776,0.13316636480222344,0.1368535845385177,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,6,0.12030919336270718,0.057160941718642264,0.008274211015604466,0.2323441757098099,0.0353164581970542,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,7,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,8,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-8,0.010038907236379216,0.027759110407869787,-0.04436881201320105,0.06444662648595949,0.7176193091811762,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-7,-0.0245681614012401,0.03585608389115916,-0.09484590867323173,0.04570958587075152,0.49322732293795957,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-6,0.05922493152699785,0.037343133857813314,-0.013967426332546308,0.13241728938654201,0.11275121953892242,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-5,0.026514058335109076,0.036211551586995315,-0.044460403864456946,0.09748852053467509,0.4640494218036708,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-4,0.04618435229122107,0.03739245005682963,-0.0271046650747378,0.11947336965717995,0.21678776355592122,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-3,0.004451164642370659,0.03731489235380082,-0.06868584000884222,0.07758816929358354,0.9050486555944994,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,-2,0.004005396309281716,0.03441841114387836,-0.06345451948117038,0.07146531209973382,0.9073567197620156,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,0,-0.03638719324374088,0.039130412436736595,-0.11308260828754113,0.04030822180005938,0.35242814925508603,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,1,-0.09626124792820703,0.0650055761185793,-0.22367185594661773,0.031149360090203665,0.13865994069762544,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,2,-0.07342996089160612,0.06849199144097604,-0.20767392571653104,0.0608140039333188,0.2836804955866663,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,3,-0.07473597722180197,0.06224087269234651,-0.19672778018440723,0.04725582574080328,0.22985036360930144,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,4,-0.08043197087637667,0.05840781822129293,-0.19491100601374545,0.03404706426099209,0.16849296863271546,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,5,-0.12280274478452162,0.06414520268056784,-0.2485270251152895,0.002921535546246287,0.05556649247370338,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,6,-0.004844731984632426,0.06504830410314642,-0.13233908664168792,0.12264962267242308,0.9406294534958908,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,7,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_only,8,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-8,0.028998757362920322,0.01655356176758573,-0.0034460402518298357,0.061443554977670484,0.0798090580179649,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-7,0.03195309586709977,0.02219757382922608,-0.011553902840451047,0.07546009457465058,0.15001617501239295,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-6,0.022411443790534096,0.02154533291965096,-0.01981716996250722,0.06464005754357541,0.2982498829358544,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-5,0.014573857769867594,0.021808822027463832,-0.028171191714450573,0.057318907254185765,0.5039723541561973,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-4,-0.003995151491740329,0.022098158160069693,-0.04730729658948797,0.03931699360600731,0.8565318926747052,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-3,0.014883825787656714,0.022867307610748587,-0.02993584370956115,0.05970349528487458,0.5151268625547165,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,-2,0.029858886925925063,0.02169234107865387,-0.01265786118958959,0.07237563504143972,0.16867897746916816,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,0,0.017793211247871296,0.022706651901808653,-0.026711574840241406,0.062297997335984,0.43326959914571117,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,1,-0.003063609948241368,0.0232289093354853,-0.04859201481860415,0.042464794922121414,0.8950733105961628,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,2,-0.00830233378806858,0.022462610126622623,-0.05232880070133399,0.03572413312519684,0.7116762950138131,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,3,-0.0079986543581402,0.023917547641602567,-0.054876782676872224,0.038879473960591826,0.7380587155037241,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,4,-0.026459901922963432,0.02521849340741446,-0.07588786952535852,0.022968065679431656,0.29407672597249923,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,5,-0.0034338248776403717,0.02679737578309998,-0.05595638443890449,0.04908873468362374,0.8980381822994401,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,6,-0.2762176459359782,0.11847435794343548,-0.5084260745497584,-0.04400921732219795,0.019731451765754082,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,7,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,workmode_only,8,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-8,0.031666002952729755,0.020746936164932672,-0.008997839701686987,0.0723298456071465,0.12693954036202548,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-7,0.011024263314004589,0.027932622601159973,-0.04372347203106437,0.06577199865907356,0.6930849488815327,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-6,0.011815849435765085,0.02887032597862599,-0.04476977764881977,0.06840147652034995,0.6823402724930641,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-5,0.042050319880695686,0.0297605679985138,-0.016280175030795388,0.10038081479218676,0.15767295023429817,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-4,0.07653207523041859,0.030047126476564552,0.017639927804546117,0.13542422265629106,0.010865019660797559,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-3,0.04181735422482723,0.028164945794783625,-0.013385732875092739,0.09702044132474719,0.13761903765438066,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,-2,0.038927469729692014,0.029053966888629438,-0.018018092191050293,0.09587303165043431,0.1803032564462843,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,0,0.014250691864868513,0.03757736835676652,-0.05940067439370073,0.08790205812343777,0.7045135742303488,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,1,-0.00010739357236825921,0.03895581841947804,-0.07646051183959388,0.07624572469485735,0.9978003977506293,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,2,-0.0010158731428950459,0.042576448295564506,-0.08446539940119129,0.0824336531154012,0.9809643552314853,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,3,0.013868104242105767,0.042958573808488616,-0.07033038521770879,0.09806659370192033,0.7468285477647769,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,4,0.053254039416835416,0.040436377566187016,-0.026000963914464992,0.13250904274813582,0.18784782543207368,True,-1,0.95,hex,PanelOLS hex+date FE event-study
