outcome,term,event_week,estimate,std_error,ci_lower,ci_upper,p_value,unit,estimated,n_obs,n_hexagons,cohorts_used
meet_flg,W_plus,2,1.7476841424602505,1.2518787322556972,-0.70597460840174,4.2013428933222405,0.1627019643557439,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,3,0.9861969778893117,1.330398400387266,-1.6213588445194236,3.593752800298047,0.45852528820611527,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,4,0.1351103346573282,1.5085681069238412,-2.8216547588397254,3.091875428154382,0.9286354347933252,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,5,3.2444921901786614,1.3234475872544151,0.6505598306737935,5.838424549683529,0.014225644482581234,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,6,1.8562021535348514,1.33011225232563,-0.7507928240592984,4.463197131129001,0.162860449377352,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,7,4.847196783331067,1.3145509983216344,2.2707015706722093,7.423691995989924,0.00022669710280642796,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,8,4.278650723885876,1.2648102015431988,1.7996465366319678,6.757654911139785,0.0007176030065640937,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_minus,-8,0.23159850486297362,0.2597730823447641,-0.2775518467730302,0.7407488564989774,0.37264024857293343,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_minus,-7,0.35631142554323075,0.354283017751144,-0.33807662051020704,1.0506994715966684,0.314549450595238,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_minus,-6,0.02223543102290599,0.3514739015583253,-0.6666468001691528,0.7111176622149648,0.9495568583606679,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_minus,-5,0.19334909782804244,0.3613392174907267,-0.5148689668947443,0.9015671625508292,0.5925883031980166,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_minus,-4,0.25126602301489886,0.35616617430491543,-0.4468129744369052,0.949345020466703,0.48051641483361385,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
